TabooSize,bestLocal
0,104716236
1,104716332
2,104716332
3,104722476
4,104722182
5,104722200
6,104722200
7,104722206
8,104722190
9,104722190
10,104722195
11,104722184
12,104722180
13,104722227
14,104722120
15,104722130
16,104722124
17,104722233
18,104722260
19,104722240
20,104722214
21,104722202
22,104722205
23,104722956
24,104722916
25,104722982
26,104722876
27,104722864
28,104722835
29,104722587
30,104722608
31,104722409
32,104722418
33,104722364
34,104722379
35,104722144
36,104722667
37,104722336
38,104722456
39,104722396
40,104722364
41,104722323
42,104717763
43,104718628
44,104718181
45,104717628
46,104717634
47,104718310
48,104717772
49,104718043
50,104717413
51,104716236
52,104716236
53,104719621
54,104716236
55,104717132
56,104717453
57,104718434
58,104716236
59,104718540
60,104716236
61,104719041
62,104717980
63,104716236
64,104716236
65,104716236
66,104716236
67,104716236
68,104716236
69,104716236
70,104716236
71,104716236
72,104720332
73,104716236
74,104716236
75,104716236
76,104716236
77,104716236
78,104716236
79,104716236
80,104716236
81,104716236
