i,s_i,w_i
0,0,0
1,995,995
2,1956,1956
3,2914,2914
4,3844,3844
5,4771,4771
6,5113,5113
7,5113,4118
8,5113,4977
9,5113,5003
10,5113,4073
11,5113,4968
12,5113,4626
13,5113,4907
14,5113,4930
15,5113,4904
16,5113,4045
17,5113,5040
18,5113,4145
19,5113,5075
20,5113,5052
69,5143,5143
73,5173,5173
80,5184,5184
94,5190,5190
97,5204,5204
201,5204,4352
401,5204,4985
601,5204,5204
801,5204,4904
1001,5204,4344
1201,5204,5147
1401,5204,4930
1601,5204,4851
1801,5204,5132
2001,5204,4352
2201,5204,4985
2401,5204,5204
2601,5204,4904
2801,5204,4344
3001,5204,5147
3201,5204,4930
3401,5204,4851
3601,5204,5132
3801,5204,4352
4001,5204,4985
4201,5204,5204
4401,5204,4904
4601,5204,4344
4801,5204,5147
5001,5204,4930
5201,5204,4851
5401,5204,5132
5601,5204,4352
5801,5204,4985
6001,5204,5204
6201,5204,4904
6401,5204,4344
6601,5204,5147
6801,5204,4930
7001,5204,4851
7201,5204,5132
7401,5204,4352
7601,5204,4985
7801,5204,5204
8001,5204,4904
8201,5204,4344
8401,5204,5147
8601,5204,4930
8801,5204,4851
9001,5204,5132
9201,5204,4352
9401,5204,4985
9601,5204,5204
9801,5204,4904
10001,5204,4344
10201,5204,5147
10401,5204,4930
10601,5204,4851
10801,5204,5132
11001,5204,4352
11201,5204,4985
11401,5204,5204
11601,5204,4904
11801,5204,4344
12001,5204,5147
12201,5204,4930
12401,5204,4851
12601,5204,5132
12801,5204,4352
13001,5204,4985
13201,5204,5204
13401,5204,4904
13601,5204,4344
13801,5204,5147
14001,5204,4930
14201,5204,4851
14401,5204,5132
14601,5204,4352
14801,5204,4985
15001,5204,5204
15201,5204,4904
15401,5204,4344
15601,5204,5147
15801,5204,4930
16001,5204,4851
16201,5204,5132
16401,5204,4352
16601,5204,4985
16801,5204,5204
17001,5204,4904
17201,5204,4344
17401,5204,5147
17601,5204,4930
17801,5204,4851
18001,5204,5132
18201,5204,4352
18401,5204,4985
18601,5204,5204
18801,5204,4904
19001,5204,4344
19201,5204,5147
19401,5204,4930
19601,5204,4851
19801,5204,5132
20000,5204,5131
